Datetime,Temperature,Humidity,Zephyr,GeneralDiffuseFlows,DiffuseFlows,PowerConsumption
1/1/2017 18:40,13.79,66.74,0.076,0.146,0.197,39682.02532
1/1/2017 19:00,12.51,68.35,0.077,0.055,0.085,39991.89873
1/1/2017 19:20,11.75,70.7,0.079,0.055,0.126,40216.70886
1/1/2017 19:40,11.5,70.6,0.078,0.059,0.074,40514.43038
1/1/2017 20:00,11.42,71.2,0.076,0.073,0.085,40283.5443
1/1/2017 20:20,12.05,69.82,0.077,0.048,0.108,40477.97468
1/1/2017 20:40,11.61,71.2,0.078,0.04,0.119,40435.44304
1/1/2017 21:00,11.43,72.0,0.075,0.051,0.07,39584.81013
1/1/2017 21:20,11.49,73.1,0.077,0.044,0.085,39141.26582
1/1/2017 21:40,11.84,68.78,0.074,0.066,0.093,38011.13924
1/1/2017 22:00,13.1,65.44,0.074,0.04,0.141,36953.92405
1/1/2017 22:20,13.18,63.97,0.075,0.081,0.093,35289.11392
1/1/2017 22:40,12.39,68.04,0.074,0.084,0.115,33678.98734
1/1/2017 23:00,12.11,69.94,0.074,0.088,0.082,32117.46835
1/1/2017 23:20,11.99,70.8,0.075,0.055,0.134,30701.77215
1/1/2017 23:40,11.37,74.8,0.074,0.084,0.082,28830.37975
1/2/2017 0:00,11.01,75.8,0.076,0.033,0.163,26703.79747
1/2/2017 0:20,10.47,78.2,0.078,0.088,0.13,25622.27848
1/2/2017 0:40,10.63,79.3,0.079,0.037,0.152,24437.46835
1/2/2017 1:00,10.94,78.1,0.074,0.084,0.108,23629.36709
1/2/2017 1:20,11.02,77.5,0.081,0.062,0.178,22736.20253
1/2/2017 1:40,10.22,79.8,0.078,0.088,0.126,21855.18987
1/2/2017 2:00,10.86,80.0,0.076,0.066,0.159,21533.16456
1/2/2017 2:20,11.1,75.6,0.077,0.077,0.156,20986.32911
1/2/2017 2:40,11.21,75.2,0.077,0.062,0.137,20889.11392
1/2/2017 3:00,10.7,77.7,0.079,0.062,0.159,20372.65823
1/2/2017 3:20,10.59,79.5,0.078,0.084,0.145,20129.62025
1/2/2017 3:40,10.52,79.8,0.076,0.066,0.145,20087.08861
1/2/2017 4:00,10.18,81.7,0.079,0.059,0.159,19831.89873
1/2/2017 4:20,10.41,81.4,0.078,0.095,0.134,20166.07595
1/2/2017 4:40,10.16,81.9,0.075,0.073,0.122,20141.77215
1/2/2017 5:00,10.03,83.8,0.08,0.029,0.163,20257.21519
1/2/2017 5:20,9.74,82.8,0.081,0.106,0.126,20712.91139
1/2/2017 5:40,9.53,83.9,0.072,0.066,0.182,21041.01266
1/2/2017 6:00,9.58,84.5,0.075,0.048,0.134,22742.27848
1/2/2017 6:20,9.4,84.4,0.077,0.07,0.122,23258.73418
1/2/2017 6:40,9.16,84.7,0.077,0.048,0.145,23653.67089
1/2/2017 7:00,9.17,85.8,0.078,0.073,0.163,23380.25316
1/2/2017 7:20,9.74,85.4,0.072,0.077,0.111,22803.03797
1/2/2017 7:40,9.58,83.9,0.079,0.073,0.13,22803.03797
1/2/2017 8:00,9.44,83.2,0.084,0.124,0.223,22742.27848
1/2/2017 8:20,8.96,83.4,0.083,2.95,2.867,24340.25316
1/2/2017 8:40,8.52,85.1,0.081,13.02,11.56,25190.88608
1/2/2017 9:00,8.44,85.9,0.08,64.11,24.49,25980.75949
1/2/2017 9:20,9.02,86.7,0.082,117.2,30.43,23629.36709
1/2/2017 9:40,10.48,87.0,0.079,169.2,35.2,24771.64557
1/2/2017 10:00,11.68,81.7,0.08,218.3,39.07,25518.98734
1/2/2017 10:20,12.61,74.8,0.076,270.6,40.59,26351.39241
1/2/2017 10:40,13.61,70.2,0.077,309.8,43.74,26794.93671
1/2/2017 11:00,14.55,64.11,0.077,360.7,41.43,27645.56962
1/2/2017 11:20,15.08,57.23,0.076,396.6,40.66,27894.68354
1/2/2017 11:40,15.28,56.49,0.075,425.6,41.84,28818.22785
1/2/2017 12:00,15.21,55.69,0.077,452.5,41.73,28939.74684
1/2/2017 12:20,15.11,57.86,0.074,469.9,43.43,29674.93671
1/2/2017 12:40,15.26,58.8,0.076,482.3,44.1,29905.82278
1/2/2017 13:00,15.23,60.53,0.076,487.1,44.09,29966.58228
1/2/2017 13:20,15.22,59.83,0.076,486.9,44.29,29760.0
1/2/2017 13:40,15.41,58.13,0.076,481.1,43.82,29140.25316
1/2/2017 14:00,15.56,56.03,0.075,470.9,42.8,28672.40506
1/2/2017 14:20,15.47,56.29,0.077,451.8,42.83,28684.55696
1/2/2017 14:40,15.57,56.53,0.076,427.9,42.14,28635.94937
1/2/2017 15:00,15.59,55.76,0.077,399.4,40.61,28721.01266
1/2/2017 15:20,15.49,57.19,0.075,364.3,45.96,29049.11392
1/2/2017 15:40,15.36,57.72,0.075,324.6,79.5,29012.65823
1/2/2017 16:00,15.37,58.59,0.077,280.3,184.0,29030.88608
1/2/2017 16:20,15.23,61.12,0.075,238.2,253.4,29480.50633
1/2/2017 16:40,15.19,61.72,0.075,192.0,227.3,31011.64557
1/2/2017 17:00,15.22,59.95,0.076,142.6,175.0,32390.88608
1/2/2017 17:20,15.02,62.32,0.076,98.7,123.7,35659.74684
1/2/2017 17:40,14.81,61.79,0.078,58.1,75.3,40648.10127
1/2/2017 18:00,14.54,64.02,0.074,11.04,11.2,41644.55696
1/2/2017 18:20,14.23,65.55,0.076,3.071,3.089,41766.07595
1/2/2017 18:40,14.03,66.72,0.074,0.143,0.189,41808.60759
1/2/2017 19:00,13.87,68.59,0.075,0.066,0.1,41280.0
1/2/2017 19:20,13.55,69.9,0.076,0.029,0.104,41851.13924
1/2/2017 19:40,13.35,69.86,0.076,0.073,0.078,41395.44304
1/2/2017 20:00,13.42,68.89,0.073,0.055,0.096,40939.74684
1/2/2017 20:20,13.42,68.52,0.075,0.055,0.093,41316.4557
1/2/2017 20:40,13.33,68.72,0.076,0.066,0.108,41061.26582
1/2/2017 21:00,13.47,66.99,0.074,0.048,0.078,40830.37975
1/2/2017 21:20,13.15,66.42,0.078,0.055,0.093,39797.46835
1/2/2017 21:40,12.93,67.29,0.076,0.07,0.111,38564.05063
1/2/2017 22:00,12.86,67.76,0.074,0.084,0.093,37792.40506
1/2/2017 22:20,12.92,68.52,0.074,0.037,0.148,36218.73418
1/2/2017 22:40,12.88,69.33,0.075,0.062,0.152,34754.43038
1/2/2017 23:00,12.82,70.1,0.075,0.077,0.1,32785.82278
1/2/2017 23:20,12.54,71.5,0.077,0.051,0.1,30252.1519
1/2/2017 23:40,12.19,72.8,0.077,0.07,0.122,28593.41772
1/3/2017 0:00,12.08,74.0,0.076,0.117,0.093,26661.26582
1/3/2017 0:20,12.07,74.1,0.074,0.102,0.119,25433.92405
1/3/2017 0:40,11.45,77.7,0.074,0.073,0.115,24540.75949
1/3/2017 1:00,12.23,75.1,0.074,0.062,0.145,23422.78481
1/3/2017 1:20,12.42,71.4,0.077,0.059,0.159,22766.58228
1/3/2017 1:40,11.84,73.4,0.079,0.073,0.152,22098.22785
1/3/2017 2:00,11.35,73.6,0.081,0.095,0.134,21691.13924
1/3/2017 2:20,11.33,74.5,0.073,0.044,0.13,21502.78481
1/3/2017 2:40,12.26,75.5,0.076,0.073,0.163,21059.24051
1/3/2017 3:00,12.78,71.8,0.078,0.055,0.156,20980.25316
1/3/2017 3:20,12.2,73.8,0.072,0.084,0.178,20658.22785
1/3/2017 3:40,11.96,74.9,0.077,0.07,0.137,20220.75949
1/3/2017 4:00,11.85,75.1,0.083,0.077,0.156,20202.53165
1/3/2017 4:20,11.55,76.1,0.077,0.055,0.156,19989.87342
1/3/2017 4:40,11.17,77.8,0.076,0.077,0.148,20129.62025
1/3/2017 5:00,10.74,78.6,0.077,0.048,0.189,20390.88608
1/3/2017 5:20,10.49,80.3,0.08,0.084,0.141,20755.44304
1/3/2017 5:40,11.22,80.0,0.076,0.077,0.171,21454.17722
1/3/2017 6:00,11.44,77.5,0.079,0.102,0.122,22954.93671
1/3/2017 6:20,11.33,76.8,0.075,0.062,0.145,24255.18987
1/3/2017 6:40,10.89,77.5,0.082,0.099,0.111,24552.91139
1/3/2017 7:00,10.15,80.8,0.08,0.055,0.193,24534.68354
1/3/2017 7:20,9.9,81.5,0.076,0.048,0.171,24534.68354
1/3/2017 7:40,9.27,81.5,0.08,0.059,0.167,23811.64557
1/3/2017 8:00,8.85,82.7,0.082,0.146,0.223,23884.55696
1/3/2017 8:20,8.54,83.7,0.078,2.88,2.815,24874.93671
1/3/2017 8:40,8.5,84.9,0.079,12.91,11.68,25871.39241
1/3/2017 9:00,8.4,85.3,0.082,64.8,27.42,27135.18987
1/3/2017 9:20,8.8,85.0,0.084,109.4,38.03,28107.34177
1/3/2017 9:40,9.62,84.5,0.082,161.3,41.16,29085.56962
1/3/2017 10:00,12.43,83.3,0.079,220.3,41.27,30057.72152
1/3/2017 10:20,13.38,74.4,0.078,269.7,43.12,30932.65823
1/3/2017 10:40,13.88,72.2,0.084,319.0,43.25,31844.05063
1/3/2017 11:00,14.54,69.24,0.084,361.2,43.97,32749.36709
1/3/2017 11:20,14.87,66.57,0.08,397.2,45.17,33004.55696
1/3/2017 11:40,15.08,64.4,0.079,428.2,44.18,33332.65823
1/3/2017 12:00,15.28,64.43,0.074,452.5,44.71,33168.60759
1/3/2017 12:20,15.18,64.77,0.075,470.7,44.71,34019.24051
1/3/2017 12:40,15.31,64.2,0.074,484.0,44.76,34468.86076
1/3/2017 13:00,15.43,62.93,0.073,492.7,44.55,34341.26582
1/3/2017 13:20,15.41,62.83,0.074,491.9,44.84,33502.78481
1/3/2017 13:40,15.37,63.4,0.076,487.1,44.94,33356.96203
1/3/2017 14:00,15.57,63.7,0.073,472.9,45.01,32627.8481
1/3/2017 14:20,15.36,64.16,0.073,455.2,44.07,32366.58228
1/3/2017 14:40,15.41,64.1,0.074,430.9,43.09,32293.67089
1/3/2017 15:00,15.44,64.86,0.075,401.3,43.02,32251.13924
1/3/2017 15:20,15.45,64.86,0.076,366.1,53.46,32366.58228
1/3/2017 15:40,15.34,65.3,0.075,328.3,104.5,32257.21519
1/3/2017 16:00,15.34,66.4,0.075,283.3,215.7,31777.21519
1/3/2017 16:20,15.23,67.66,0.076,234.7,257.7,31740.75949
1/3/2017 16:40,15.09,67.66,0.076,184.9,218.7,32263.29114
1/3/2017 17:00,14.94,64.99,0.075,131.7,166.5,33241.51899
1/3/2017 17:20,14.85,65.55,0.077,97.1,121.2,36200.50633
1/3/2017 17:40,14.68,67.22,0.073,58.28,75.3,41486.58228
1/3/2017 18:00,14.32,69.56,0.075,11.76,11.93,42495.18987
1/3/2017 18:20,13.98,72.1,0.076,3.327,3.349,42871.89873
1/3/2017 18:40,13.45,73.7,0.075,0.209,0.189,42823.29114
1/3/2017 19:00,11.85,78.2,0.074,0.066,0.111,42434.43038
1/3/2017 19:20,11.25,80.0,0.075,0.059,0.111,42720.0
1/3/2017 19:40,10.92,81.2,0.076,0.051,0.085,42476.96203
1/3/2017 20:00,10.69,81.5,0.077,0.055,0.093,41960.50633
1/3/2017 20:20,10.17,83.1,0.074,0.084,0.067,42519.49367
1/3/2017 20:40,9.61,83.9,0.076,0.066,0.108,42221.77215
1/3/2017 21:00,9.62,83.4,0.074,0.055,0.082,41571.64557
1/3/2017 21:20,9.33,83.7,0.076,0.066,0.067,40490.12658
1/3/2017 21:40,9.14,84.0,0.073,0.055,0.085,39347.8481
1/3/2017 22:00,9.07,83.8,0.073,0.073,0.089,37962.53165
1/3/2017 22:20,9.05,84.0,0.072,0.062,0.093,36565.06329
1/3/2017 22:40,8.81,83.9,0.075,0.051,0.104,34535.6962
1/3/2017 23:00,8.51,84.3,0.075,0.062,0.104,32457.72152
1/3/2017 23:20,8.6,84.4,0.074,0.048,0.104,30847.59494
1/3/2017 23:40,8.33,84.7,0.076,0.059,0.059,29298.22785
1/4/2017 0:00,8.52,83.7,0.077,0.062,0.104,27657.72152
1/4/2017 0:20,8.69,82.8,0.076,0.044,0.126,26442.53165
1/4/2017 0:40,8.36,82.0,0.078,0.055,0.108,25525.06329
1/4/2017 1:00,8.13,82.4,0.074,0.037,0.1,23975.6962
1/4/2017 1:20,8.15,82.2,0.076,0.077,0.074,23179.74684
1/4/2017 1:40,8.36,81.4,0.076,0.073,0.093,22918.48101
1/4/2017 2:00,8.13,81.2,0.075,0.059,0.119,22450.63291
1/4/2017 2:20,7.87,81.8,0.074,0.073,0.119,22086.07595
1/4/2017 2:40,7.9,81.8,0.077,0.077,0.1,21770.12658
1/4/2017 3:00,7.89,81.2,0.074,0.066,0.07,21569.62025
1/4/2017 3:20,7.84,80.5,0.073,0.059,0.134,21229.36709
1/4/2017 3:40,7.44,81.1,0.076,0.062,0.126,21363.03797
1/4/2017 4:00,7.46,81.3,0.091,0.084,0.122,21120.0
1/4/2017 4:20,6.683,83.5,0.086,0.04,0.082,20378.73418
1/4/2017 4:40,6.091,84.9,0.083,0.055,0.085,19746.83544
1/4/2017 5:00,6.003,86.3,0.085,0.062,0.1,19746.83544
1/4/2017 5:20,6.042,86.7,0.087,0.062,0.148,21533.16456
1/4/2017 5:40,5.965,86.9,0.084,0.062,0.104,22049.62025
1/4/2017 6:00,5.946,86.9,0.084,0.07,0.122,23696.20253
1/4/2017 6:20,5.488,87.1,0.087,0.029,0.134,24309.87342
1/4/2017 6:40,5.076,87.7,0.082,0.066,0.122,24716.96203
1/4/2017 7:00,5.364,87.7,0.087,0.051,0.122,24972.1519
1/4/2017 7:20,5.524,87.7,0.088,0.051,0.145,24443.5443
1/4/2017 7:40,5.421,86.9,0.09,0.07,0.122,23763.03797
1/4/2017 8:00,5.139,86.9,0.085,0.146,0.226,24066.83544
1/4/2017 8:20,5.099,87.4,0.084,2.906,2.804,24990.37975
1/4/2017 8:40,4.779,87.7,0.086,13.9,12.28,26041.51899
1/4/2017 9:00,4.872,87.2,0.088,70.5,26.46,26849.62025
1/4/2017 9:20,5.065,86.6,0.088,118.0,34.1,28441.51899
1/4/2017 9:40,5.54,85.9,0.088,170.9,36.58,29122.02532
1/4/2017 10:00,6.0,84.1,0.091,220.3,39.42,29122.02532
1/4/2017 10:20,6.593,81.6,0.09,272.8,39.92,29899.74684
1/4/2017 10:40,7.22,81.2,0.091,320.5,40.4,30932.65823
1/4/2017 11:00,8.01,79.8,0.088,354.4,40.51,31485.56962
1/4/2017 11:20,9.04,78.5,0.09,402.8,39.82,32111.39241
1/4/2017 11:40,10.14,75.6,0.094,436.2,38.96,34444.55696
1/4/2017 12:00,11.47,70.1,0.085,466.4,37.49,33873.41772
1/4/2017 12:20,12.6,66.24,0.088,485.7,36.72,34158.98734
1/4/2017 12:40,13.66,65.01,0.087,499.7,37.17,34256.20253
1/4/2017 13:00,14.41,63.77,0.084,505.9,36.35,33855.18987
1/4/2017 13:20,15.34,60.2,0.085,506.6,37.02,33593.92405
1/4/2017 13:40,16.38,55.89,0.084,501.0,42.75,32870.88608
1/4/2017 14:00,17.65,53.72,0.084,485.9,38.87,32676.4557
1/4/2017 14:20,17.43,50.65,0.076,458.1,45.03,32342.27848
1/4/2017 14:40,17.42,53.72,0.077,430.7,47.2,32706.83544
1/4/2017 15:00,17.33,57.36,0.075,409.7,44.91,32475.94937
1/4/2017 15:20,17.4,59.07,0.077,373.1,66.11,32336.20253
1/4/2017 15:40,17.24,60.4,0.073,335.5,141.6,32293.67089
1/4/2017 16:00,17.09,61.8,0.074,291.0,254.4,31552.40506
1/4/2017 16:20,17.26,61.17,0.075,229.8,260.8,31613.16456
1/4/2017 16:40,17.6,60.67,0.081,189.1,227.1,31752.91139
1/4/2017 17:00,17.57,60.33,0.076,134.8,165.7,32166.07595
1/4/2017 17:20,16.89,63.5,0.075,88.0,109.5,35513.92405
1/4/2017 17:40,15.84,67.87,0.074,52.73,67.32,41182.78481
1/4/2017 18:00,14.98,71.1,0.077,11.43,11.56,42938.73418
1/4/2017 18:20,14.13,73.2,0.081,3.532,3.546,43485.56962
1/4/2017 18:40,12.87,76.7,0.073,0.179,0.282,43242.53165
1/4/2017 19:00,12.21,77.6,0.069,0.051,0.104,43163.5443
1/4/2017 19:20,12.26,79.8,0.087,0.113,0.085,43388.35443
1/4/2017 19:40,13.83,71.8,0.088,0.051,0.093,42203.5443
1/4/2017 20:00,13.8,66.7,0.086,0.095,0.082,42197.46835
1/4/2017 20:20,13.55,67.73,0.089,0.066,0.093,42774.68354
1/4/2017 20:40,13.32,68.83,0.087,0.044,0.093,42337.21519
1/4/2017 21:00,12.82,69.5,0.086,0.044,0.122,41456.20253
1/4/2017 21:20,12.28,70.8,0.083,0.033,0.13,40721.01266
1/4/2017 21:40,11.9,71.1,0.088,0.044,0.089,39293.16456
1/4/2017 22:00,10.96,73.9,0.084,0.077,0.148,38357.46835
1/4/2017 22:20,10.44,76.3,0.082,0.073,0.074,37026.83544
1/4/2017 22:40,10.66,75.7,0.087,0.088,0.115,35064.3038
1/4/2017 23:00,10.4,76.1,0.085,0.073,0.13,33302.27848
1/4/2017 23:20,9.89,77.6,0.083,0.051,0.126,31339.74684
1/4/2017 23:40,9.64,77.7,0.084,0.055,0.126,29595.94937
1/5/2017 0:00,9.0,79.7,0.085,0.048,0.119,27663.79747
1/5/2017 0:20,9.04,80.1,0.087,0.07,0.141,26205.56962
1/5/2017 0:40,9.03,77.4,0.086,0.077,0.074,25130.12658
1/5/2017 1:00,8.39,80.1,0.084,0.091,0.108,24121.51899
1/5/2017 1:20,8.54,78.6,0.085,0.106,0.111,23398.48101
1/5/2017 1:40,8.04,80.4,0.087,0.059,0.126,21745.82278
1/5/2017 2:00,7.78,81.5,0.087,0.077,0.111,20937.72152
1/5/2017 2:20,7.72,81.3,0.088,0.088,0.126,21994.93671
1/5/2017 2:40,7.87,80.0,0.081,0.062,0.159,21502.78481
1/5/2017 3:00,7.53,81.3,0.084,0.077,0.145,21302.27848
1/5/2017 3:20,7.53,80.7,0.082,0.066,0.163,21022.78481
1/5/2017 3:40,7.57,78.1,0.083,0.066,0.141,20870.88608
1/5/2017 4:00,7.27,77.4,0.08,0.066,0.152,20876.96203
1/5/2017 4:20,6.985,79.5,0.087,0.081,0.152,20737.21519
1/5/2017 4:40,6.898,79.4,0.085,0.066,0.111,20949.87342
1/5/2017 5:00,6.998,77.3,0.083,0.077,0.148,21144.3038
1/5/2017 5:20,7.36,75.1,0.086,0.07,0.141,21442.02532
1/5/2017 5:40,6.8,78.0,0.085,0.055,0.167,21922.02532
1/5/2017 6:00,6.923,72.5,0.087,0.062,0.1,23179.74684
1/5/2017 6:20,7.02,72.9,0.084,0.066,0.134,23750.88608
1/5/2017 6:40,6.894,73.7,0.083,0.081,0.093,24583.29114
1/5/2017 7:00,5.973,80.6,0.089,0.066,0.141,24431.39241
1/5/2017 7:20,6.344,77.0,0.086,0.051,0.1,24328.10127
1/5/2017 7:40,5.944,81.2,0.087,0.077,0.152,24103.29114
1/5/2017 8:00,5.852,81.7,0.086,0.187,0.26,24121.51899
1/5/2017 8:20,5.695,82.1,0.087,3.052,2.752,25312.40506
1/5/2017 8:40,5.814,83.1,0.085,13.12,11.54,26053.67089
1/5/2017 9:00,5.578,78.6,0.084,75.1,25.83,27153.41772
1/5/2017 9:20,6.135,74.6,0.085,123.0,29.01,28064.81013
1/5/2017 9:40,6.549,73.7,0.082,174.2,32.3,29194.93671
1/5/2017 10:00,7.12,69.32,0.085,227.2,34.92,29589.87342
1/5/2017 10:20,8.16,65.28,0.086,277.7,37.37,30416.20253
1/5/2017 10:40,8.82,65.24,0.084,322.5,40.38,31552.40506
1/5/2017 11:00,9.73,63.47,0.086,365.7,44.35,31989.87342
1/5/2017 11:20,10.92,62.44,0.085,401.8,45.14,32494.17722
1/5/2017 11:40,12.02,59.0,0.086,433.4,45.06,32907.34177
1/5/2017 12:00,13.33,61.37,0.084,459.9,46.63,32682.53165
1/5/2017 12:20,14.53,61.74,0.084,479.2,48.59,33642.53165
1/5/2017 12:40,15.46,57.7,0.085,488.2,51.74,33417.72152
1/5/2017 13:00,16.26,57.93,0.084,494.6,53.51,33514.93671
1/5/2017 13:20,16.5,59.2,0.083,494.3,55.24,33691.13924
1/5/2017 13:40,17.01,57.9,0.082,473.2,59.77,33575.6962
1/5/2017 14:00,17.25,57.33,0.081,470.4,62.08,33022.78481
1/5/2017 14:20,17.55,56.83,0.086,452.8,63.12,32822.27848
1/5/2017 14:40,17.75,56.13,0.082,429.9,65.59,32457.72152
1/5/2017 15:00,18.06,54.26,0.087,392.7,70.2,32135.6962
1/5/2017 15:20,18.09,53.86,0.089,358.8,106.7,31929.11392
1/5/2017 15:40,18.22,52.65,0.089,265.6,161.9,32020.25316
1/5/2017 16:00,17.96,50.78,0.081,212.4,208.6,31661.77215
1/5/2017 16:20,17.06,52.25,0.076,217.7,245.4,31649.62025
1/5/2017 16:40,16.9,52.22,0.076,177.7,208.0,31740.75949
1/5/2017 17:00,16.58,54.96,0.076,126.4,150.3,32463.79747
1/5/2017 17:20,16.07,57.29,0.075,80.8,97.1,35775.18987
1/5/2017 17:40,15.71,58.66,0.075,27.97,32.23,41140.25316
1/5/2017 18:00,15.15,61.53,0.083,17.81,18.68,43248.60759
1/5/2017 18:20,14.21,63.53,0.091,3.239,3.356,43661.77215
1/5/2017 18:40,13.8,65.03,0.088,0.154,0.189,43716.4557
1/5/2017 19:00,13.19,66.46,0.083,0.051,0.126,43704.3038
1/5/2017 19:20,12.47,70.1,0.081,0.062,0.108,43819.74684
1/5/2017 19:40,12.14,71.4,0.075,0.095,0.07,43072.40506
1/5/2017 20:00,11.86,72.8,0.076,0.055,0.108,42914.43038
1/5/2017 20:20,11.26,74.2,0.085,0.062,0.093,43187.8481
1/5/2017 20:40,10.91,76.8,0.077,0.048,0.1,42890.12658
1/5/2017 21:00,10.85,78.6,0.077,0.055,0.104,41924.05063
1/5/2017 21:20,11.53,81.7,0.086,0.059,0.119,41134.17722
1/5/2017 21:40,11.85,78.9,0.087,0.048,0.13,39366.07595
1/5/2017 22:00,10.58,81.6,0.082,0.062,0.089,38321.01266
1/5/2017 22:20,10.84,82.7,0.085,0.059,0.119,37269.87342
1/5/2017 22:40,10.43,81.7,0.087,0.059,0.126,35969.62025
1/5/2017 23:00,10.0,82.7,0.085,0.07,0.122,34177.21519
1/5/2017 23:20,9.75,83.4,0.085,0.066,0.141,32427.34177
1/5/2017 23:40,9.09,84.6,0.085,0.033,0.145,30422.27848
1/6/2017 0:00,8.96,84.9,0.082,0.07,0.145,28623.79747
1/6/2017 0:20,8.85,85.5,0.086,0.044,0.178,27578.73418
1/6/2017 0:40,8.88,85.7,0.083,0.051,0.159,26102.27848
1/6/2017 1:00,8.7,85.5,0.084,0.059,0.13,25045.06329
1/6/2017 1:20,8.52,86.1,0.088,0.051,0.193,24078.98734
1/6/2017 1:40,8.41,86.8,0.084,0.081,0.126,23544.3038
1/6/2017 2:00,8.31,86.6,0.085,0.077,0.171,23052.1519
1/6/2017 2:20,7.88,87.4,0.083,0.066,0.148,22231.89873
1/6/2017 2:40,8.01,87.4,0.083,0.081,0.13,21836.96203
1/6/2017 3:00,8.38,87.0,0.087,0.059,0.152,21988.86076
1/6/2017 3:20,8.14,87.1,0.084,0.055,0.141,21788.35443
1/6/2017 3:40,8.47,86.9,0.089,0.066,0.167,21678.98734
1/6/2017 4:00,8.1,87.4,0.089,0.062,0.215,21727.59494
1/6/2017 4:20,7.98,88.2,0.092,0.062,0.152,21472.40506
1/6/2017 4:40,8.03,88.8,0.085,0.091,0.137,21241.51899
